ID,Level Description,Category,DisplayName,InternalName?,Summary,Full_Description,CTAButtonTitle,Action_Provider,CTAURL,DDMType,EvidenceBasisURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Applicable Wellness Levels (separated by comma),Applicable Pillar (pillar name separated by comma),Score,Maintenance Ref,Region,Postcode,Free_paid,retrocession,Frequency,Periodicity,Total Iterations,Topic,Ml-MOT Flag
176,Advanced brain & body fitness,Nutrition,Nutritional support,176,Start eating a healthy balanced diet tailored for you.,"Follow a healthy balanced diet for three months to make a healthy eating a healthy habit. It will help support brain function, promote heart health, regulate blood sugar levels, and much more.",Sign me up,British Nutrition Foundation,https://www.nutrition.org.uk/life-stages/women/,Maintenance,,0-59,Female,"Working, Retired, Not-Working",4,Health,1,,,,Free,,daily,2 months,56,,
177,Advanced brain & body fitness,Nutrition,Impact of nutrition,177,How nutrition and lifestyle factors can affect your health.,"Read about nutrition and lifestyle factors and how these can affect men's health, to support anyone on their journey towards a healthy, sustainable diet.",Read,,https://www.halixia.com/ma/impact-of-nutrition-177,Development,,0-59,Male,"Working, Retired, Not-Working",4,Health,1,178,,,Free,,,,,,
178,Advanced brain & body fitness,Nutrition,Nutritional support,178,Start eating a healthy balanced diet tailored for you.,"Follow a healthy balanced diet for three months to make it a healthy eating habit. It will help support brain function, promote heart health, regulate blood sugar levels, and much more.",Sign me up,British Nutrition Foundation,https://www.nutrition.org.uk/life-stages/men/,Maintenance,,0-59,Male,"Working, Retired, Not-Working",4,Health,1,,,,Free,,daily,2 months,56,,
179,Advanced brain & body fitness,Nutrition,Impact of nutrition,179,How nutrition and lifestyle factors can affect your health.,Read about the nutrition and lifestyle factors that may play a role in ensuring older adults can lead not only longer but healthier lives.,Read,,https://www.halixia.com/ma/impact-of-nutrition-179,Development,,40-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,1,180,,,Free,,,,,Nutrition,Y
180,Advanced brain & body fitness,Nutrition,Nutritional support,180,Start eating a healthy balanced diet tailored for you.,"Follow a healthy balanced diet for three months to make it a healthy eating habit. It will help support brain function, promote heart health, regulate blood sugar levels, and much more.",Sign me up,British Nutrition Foundation,https://www.nutrition.org.uk/life-stages/older-people/,Maintenance,,40-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,1,,,,Free,,daily,2 months,56,,
181,Diagnostic,Nutrition,How to eat mindfully,181,"Learn how to eat mindfully, for lasting change.","Find out how eating mindfully aims to empower you to take control of your health for good and meet personal health and wellness goals, including weight management.",Do,,https://www.halixia.com/ma/how-to-eat-mindfully-181,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,182,,,Paid,,,,,Nutrition,Y
182,Diagnostic,Nutrition,Eat mindfully,182,Start eating mindfully.,"Sign up to eat mindfully for three months to build healthier eating habits. It will help support brain function, promote heart health, regulate blood sugar levels, and much more.",Sign me up,Noom,https://www.noom.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Paid,,daily,2 months,56,,
1152,Basic Health,Body,Hearing Test,1152,Get a hearing test.,Make sure you schedule a regular hearing test and create a healthy habit of checking your hearing.,Sign me up,Boots,https://www.bootshearingcare.com/hearing-test/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Health,1,,,,Free,,annually,3 years,3,,
184,Advanced brain & body fitness,Exercise,Virtual yoga studio,184,Yoga and meditation classes you can practice anywhere.,"There are plenty of online yoga studios that include ready-made classes to practice anywhere, choose your level, duration and focus to find the perfect class for you.",Do,,https://www.halixia.com/ma/virtual-yoga-studio-184,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,2,185,,,Paid,,,,,,
185,Advanced brain & body fitness,Exercise,Practice yoga,185,Start adding a virtual yoga class into your routine.,"Find the perfect virtual yoga class for you, that fits into your schedule and aim to do at least one workout every week to help you reap all the benefits that yoga has to offer.",Sign me up,Daily Yoga,https://www.dailyyoga.com/#/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,1,,,,Paid,,weekly,6 months,24,,
186,Diagnostic,Exercise,Resistance training,186,Change the way you exercise in later life.,"Instepp is designed to activate, tone, and strengthen your whole body using established methods of exercise that combine the benefits of resistance training with fundamental movement.",Do,,https://www.halixia.com/ma/resistance-training-186,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,2,187,,,Free,,,,,"Physical Fitness,Resistance training",Y
187,Diagnostic,Exercise,Resistance training,187,Add resistance training to your workouts.,Aim to do three resistance workouts every week to help you to stay fit and healthy and build a great habit.,Sign me up,Strava,https://www.strava.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Free,,3 times a week,2 months,24,,
188,Advanced brain & body fitness,Nutrition,Tailored supplements,188,Use tailored supplements to meet nutritional requirements.,"Discover how tailored supplements for women of all ages, can offer wide ranging benefits from PMS support, to conception, to the menopause.",Do,,https://www.halixia.com/ma/tailored-supplements-188,Development,,0-49,Female,"Working, Retired, Not-Working",4,Health,2,189,,,Paid,,,,,,
189,Advanced brain & body fitness,Nutrition,Take a supplement,189,Start taking tailored nutritional supplements.,Sign up to identify the right nutritional supplements for you and start taking them daily for a month to try this healthy habit.,Sign me up,Healthspan,https://www.awin1.com/cread.php?awinmid=6007&awinaffid=1198638&ued=https%3A%2F%2Fwww.healthspan.co.uk%2Fwomens-health%23t%3DWomens-Health-Products%26numberOfResults%3D15,Maintenance,,0-49,Female,"Working, Retired, Not-Working",4,Health,1,,,,Paid,,daily,1 month,28,,
190,Advanced brain & body fitness,Nutrition,Tailored supplements,190,Use tailored supplements to meet nutritional requirements.,Discover how tailored vitamins and supplements can support you as you get older to help maintain your health.,Do,,https://www.halixia.com/ma/tailored-supplements-190,Development,,50-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,2,191,,,Paid,,,,,,
191,Advanced brain & body fitness,Nutrition,Take a supplement,191,Start taking tailored nutritional supplements.,Sign up to find the right nutritional supplement for you and start taking daily for a month to build a habit.,Sign me up,Healthspan,https://www.awin1.com/cread.php?awinmid=6007&awinaffid=1198638&ued=https%3A%2F%2Fwww.healthspan.co.uk%2Fover-50s-health%23t%3DOver-50s-Health-Products%26numberOfResults%3D15,Maintenance,,50-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,1,,,,Paid,,daily,1 month,28,,
192,Advanced brain & body fitness,Nutrition,Tailored supplements,192,Use tailored supplements to meet nutritional requirements.,Discover how tailored vitamins and supplements can specifically support men's health and wellbeing.,Do,,https://www.halixia.com/ma/tailored-supplements-192,Development,,0-49,Male,"Working, Retired, Not-Working",4,Health,2,193,,,Paid,,,,,,
193,Advanced brain & body fitness,Nutrition,Take a supplement,193,Start taking tailored nutritional supplements.,Sign up to find the right nutritional supplement for you and start taking daily for a month to build a habit.,Sign me up,Healthspan,https://www.awin1.com/cread.php?awinmid=6007&awinaffid=1198638&ued=https%3A%2F%2Fwww.healthspan.co.uk%2Fmens-health%23t%3DMens-Health-Products%26numberOfResults%3D15,Maintenance,,0-49,Male,"Working, Retired, Not-Working",4,Health,1,,,,Paid,,daily,1 month,28,,
194,Advanced brain & body fitness,Mind,Peak brain training,194,Find an app for complete brain training.,"Challenge your cognitive skills, focus, memory, problem solving, mental agility and more, with these apps and guides designed to push you hard with short, intense brain workouts that fit around your life.",Do,,https://www.halixia.com/ma/peak-brain-training-194,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,2,195,,,Free,,,,,Brain Training,Y
195,Advanced brain & body fitness,Mind,Train your brain,195,Practice brain training with daily exercises.,Improve your cognitive functioning by doing daily brain puzzles for the next month to help form a brain boosting habit.,Sign me up,Peak,https://www.peak.net/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,1,,,,Free,,daily,1 month,28,,
196,Advanced brain & body fitness,Nutrition,Micronutrients,196,How micronutrients can help improve health and longevity.,"Listen to this podcast and read about micronutrients that can improve the immune system, longevity and much more, with actions for obtaining key micronutrients.",Listen,,https://www.halixia.com/ma/micronutrients-196,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,2,197,,,Free,,,,,"Nutrition,Weight Mgt,Micronutrients",Y
197,Advanced brain & body fitness,Nutrition,Try micronutrients,197,Start getting all your micronutrient needs met.,"Sign up to eat a micronutrient rich meal plan for three months to make it a healthy eating habit. It will help support brain function, promote heart health, regulate blood sugar levels, and much more.",Sign me up,Diets Meal Plan,https://www.dietsmealplan.com/micronutrient/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,1,,,,Free,,daily,2 months,56,,
198,Optimal health,Nutrition,Nutritional therapy,198,Support for a healthier relationship with food.,"Nutritional therapy is the practice of using food, supplements and healthy diets, tailored towards helping you reach your health goals through a healthy relationship with food.",Read/Do,,https://www.halixia.com/ma/nutritional-therapy-198,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Health,2,199,,,Free,,,,,"Nutrition,Weight Mgt",Y
199,Optimal health,Nutrition,Nutritional therapy,199,Support health goals through enhanced nutrition,"Follow a healthy balanced diet for three months to target health goals. It will help support brain function, promote heart health, regulate blood sugar levels, and much more.",Sign me up,Nutritionist-Resource,https://www.nutritionist-resource.org.uk/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Health,1,,,,Free,,daily,2 months,56,,
200,Money basics,Manage,Bills-only account,200,A simple and easy way to manage money well.,"Know all your monthly bills are covered, your yearly expenses are sorted and you know how much you have to spend each month with a separate bills only account.",Read,,https://www.halixia.com/ma/bills-only-account-200,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Wealth,2,201,,,Free,,,,,Day to day expenses,Y
201,Money basics,Manage,Bills-only account,201,Use this simple and easy way to manage money well.,Open a bills only account and track your spending regularly so you know exactly how much money you have available to spend each month.,Sign me up,MoneySavingExpert.com,https://www.moneysavingexpert.com/banking/compare-best-bank-accounts/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Wealth,1,,,,Free,,weekly,6 months,24,,
202,Money basics,Manage,Manage money,202,Start at the beginning and get to grips with managing money.,Taking the time to manage your money better can really pay off. Learning to budget can help you stay on top of your bills and save.,Read,,https://www.halixia.com/ma/manage-money-202,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Wealth,3,203,,,Free,,,,,"Emergency Fund,Day to day expenses",Y
203,Money basics,Manage,Set a budget,203,Set yourself a budget and get to grips with managing money.,Setting a budget can help you stay on top of your bills and save. Taking the time regularly to manage your money is a great habit to build.,Sign me up,MoneyHelper,https://www.moneyhelper.org.uk/en/everyday-money/budgeting/budget-planner,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Wealth,1,,,,Free,,weekly,6 months,24,,
